Injury Name,Affected Area,Common Causes,Symptoms,Prevention Tips,Rehab Exercises,Medical Disclaimer,Rehab Phase 1 (Acute),Rehab Phase 2 (Recovery),Rehab Phase 3 (Strengthening),Rehab Phase 4 (Return to Training)
Rotator Cuff Strain,Shoulder,"Overuse, poor technique, excessive load during shoulder training","Pain, stiffness, swelling, reduced strength or mobility","Proper warm-up, correct form, gradual progression, adequate recovery","Isometrics, controlled mobility, light resistance strengthening","This information is for educational purposes only and is not a substitute for professional medical advice, diagnosis, or treatment. Always consult a qualified physician, physiotherapist, or healthcare provider before starting any exercise, rehabilitation program, or if you experience pain, injury, or medical conditions. Do not ignore professional medical advice or delay seeking it because of this content.","Rest from overhead movements, ice if painful, pendulum exercises, scapular setting","Active-assisted ROM, band external rotations, scapular stability drills","Progressive rotator cuff strengthening, overhead control exercises",Gradual return to pressing and pulling with strict form
Shoulder Impingement,Shoulder,"Overuse, poor technique, excessive load during shoulder training","Pain, stiffness, swelling, reduced strength or mobility","Proper warm-up, correct form, gradual progression, adequate recovery","Isometrics, controlled mobility, light resistance strengthening","This information is for educational purposes only and is not a substitute for professional medical advice, diagnosis, or treatment. Always consult a qualified physician, physiotherapist, or healthcare provider before starting any exercise, rehabilitation program, or if you experience pain, injury, or medical conditions. Do not ignore professional medical advice or delay seeking it because of this content.","Rest from overhead movements, ice if painful, pendulum exercises, scapular setting","Active-assisted ROM, band external rotations, scapular stability drills","Progressive rotator cuff strengthening, overhead control exercises",Gradual return to pressing and pulling with strict form
Labral Tear,Shoulder,"Overuse, poor technique, excessive load during shoulder training","Pain, stiffness, swelling, reduced strength or mobility","Proper warm-up, correct form, gradual progression, adequate recovery","Isometrics, controlled mobility, light resistance strengthening","This information is for educational purposes only and is not a substitute for professional medical advice, diagnosis, or treatment. Always consult a qualified physician, physiotherapist, or healthcare provider before starting any exercise, rehabilitation program, or if you experience pain, injury, or medical conditions. Do not ignore professional medical advice or delay seeking it because of this content.","Rest from overhead movements, ice if painful, pendulum exercises, scapular setting","Active-assisted ROM, band external rotations, scapular stability drills","Progressive rotator cuff strengthening, overhead control exercises",Gradual return to pressing and pulling with strict form
Biceps Tendinitis,Shoulder,"Overuse, poor technique, excessive load during shoulder training","Pain, stiffness, swelling, reduced strength or mobility","Proper warm-up, correct form, gradual progression, adequate recovery","Isometrics, controlled mobility, light resistance strengthening","This information is for educational purposes only and is not a substitute for professional medical advice, diagnosis, or treatment. Always consult a qualified physician, physiotherapist, or healthcare provider before starting any exercise, rehabilitation program, or if you experience pain, injury, or medical conditions. Do not ignore professional medical advice or delay seeking it because of this content.","Rest from overhead movements, ice if painful, pendulum exercises, scapular setting","Active-assisted ROM, band external rotations, scapular stability drills","Progressive rotator cuff strengthening, overhead control exercises",Gradual return to pressing and pulling with strict form
AC Joint Sprain,Shoulder,"Overuse, poor technique, excessive load during shoulder training","Pain, stiffness, swelling, reduced strength or mobility","Proper warm-up, correct form, gradual progression, adequate recovery","Isometrics, controlled mobility, light resistance strengthening","This information is for educational purposes only and is not a substitute for professional medical advice, diagnosis, or treatment. Always consult a qualified physician, physiotherapist, or healthcare provider before starting any exercise, rehabilitation program, or if you experience pain, injury, or medical conditions. Do not ignore professional medical advice or delay seeking it because of this content.","Rest from overhead movements, ice if painful, pendulum exercises, scapular setting","Active-assisted ROM, band external rotations, scapular stability drills","Progressive rotator cuff strengthening, overhead control exercises",Gradual return to pressing and pulling with strict form
Frozen Shoulder,Shoulder,"Overuse, poor technique, excessive load during shoulder training","Pain, stiffness, swelling, reduced strength or mobility","Proper warm-up, correct form, gradual progression, adequate recovery","Isometrics, controlled mobility, light resistance strengthening","This information is for educational purposes only and is not a substitute for professional medical advice, diagnosis, or treatment. Always consult a qualified physician, physiotherapist, or healthcare provider before starting any exercise, rehabilitation program, or if you experience pain, injury, or medical conditions. Do not ignore professional medical advice or delay seeking it because of this content.","Rest from overhead movements, ice if painful, pendulum exercises, scapular setting","Active-assisted ROM, band external rotations, scapular stability drills","Progressive rotator cuff strengthening, overhead control exercises",Gradual return to pressing and pulling with strict form
Shoulder Bursitis,Shoulder,"Overuse, poor technique, excessive load during shoulder training","Pain, stiffness, swelling, reduced strength or mobility","Proper warm-up, correct form, gradual progression, adequate recovery","Isometrics, controlled mobility, light resistance strengthening","This information is for educational purposes only and is not a substitute for professional medical advice, diagnosis, or treatment. Always consult a qualified physician, physiotherapist, or healthcare provider before starting any exercise, rehabilitation program, or if you experience pain, injury, or medical conditions. Do not ignore professional medical advice or delay seeking it because of this content.","Rest from overhead movements, ice if painful, pendulum exercises, scapular setting","Active-assisted ROM, band external rotations, scapular stability drills","Progressive rotator cuff strengthening, overhead control exercises",Gradual return to pressing and pulling with strict form
Supraspinatus Tear,Shoulder,"Overuse, poor technique, excessive load during shoulder training","Pain, stiffness, swelling, reduced strength or mobility","Proper warm-up, correct form, gradual progression, adequate recovery","Isometrics, controlled mobility, light resistance strengthening","This information is for educational purposes only and is not a substitute for professional medical advice, diagnosis, or treatment. Always consult a qualified physician, physiotherapist, or healthcare provider before starting any exercise, rehabilitation program, or if you experience pain, injury, or medical conditions. Do not ignore professional medical advice or delay seeking it because of this content.","Rest from overhead movements, ice if painful, pendulum exercises, scapular setting","Active-assisted ROM, band external rotations, scapular stability drills","Progressive rotator cuff strengthening, overhead control exercises",Gradual return to pressing and pulling with strict form
Infraspinatus Strain,Shoulder,"Overuse, poor technique, excessive load during shoulder training","Pain, stiffness, swelling, reduced strength or mobility","Proper warm-up, correct form, gradual progression, adequate recovery","Isometrics, controlled mobility, light resistance strengthening","This information is for educational purposes only and is not a substitute for professional medical advice, diagnosis, or treatment. Always consult a qualified physician, physiotherapist, or healthcare provider before starting any exercise, rehabilitation program, or if you experience pain, injury, or medical conditions. Do not ignore professional medical advice or delay seeking it because of this content.","Rest from overhead movements, ice if painful, pendulum exercises, scapular setting","Active-assisted ROM, band external rotations, scapular stability drills","Progressive rotator cuff strengthening, overhead control exercises",Gradual return to pressing and pulling with strict form
Subscapularis Strain,Shoulder,"Overuse, poor technique, excessive load during shoulder training","Pain, stiffness, swelling, reduced strength or mobility","Proper warm-up, correct form, gradual progression, adequate recovery","Isometrics, controlled mobility, light resistance strengthening","This information is for educational purposes only and is not a substitute for professional medical advice, diagnosis, or treatment. Always consult a qualified physician, physiotherapist, or healthcare provider before starting any exercise, rehabilitation program, or if you experience pain, injury, or medical conditions. Do not ignore professional medical advice or delay seeking it because of this content.","Rest from overhead movements, ice if painful, pendulum exercises, scapular setting","Active-assisted ROM, band external rotations, scapular stability drills","Progressive rotator cuff strengthening, overhead control exercises",Gradual return to pressing and pulling with strict form
