workout_name,primary_activity,training_format,intensity_level,equipment_required,primary_goal,typical_duration,work_rest_structure
Running - Steady State,Running,Steady State,Low,Treadmill,Cardiovascular Endurance,11 minutes,21 sec work / 11 sec rest
Running - Steady State,Running,Steady State,Moderate,Bike,Athletic Conditioning,12 minutes,22 sec work / 12 sec rest
Running - Steady State,Running,Steady State,High,Rower,VO2 Max,13 minutes,23 sec work / 13 sec rest
Running - Steady State,Running,Steady State,Very High,Kettlebell,Metabolic Conditioning,14 minutes,24 sec work / 14 sec rest
Running - Intervals,Running,Intervals,Low,Dumbbell,Fat Loss,15 minutes,25 sec work / 15 sec rest
Running - Intervals,Running,Intervals,Moderate,Medicine Ball,Cardiovascular Endurance,16 minutes,26 sec work / 16 sec rest
Running - Intervals,Running,Intervals,High,Battle Rope,Athletic Conditioning,17 minutes,27 sec work / 17 sec rest
Running - Intervals,Running,Intervals,Very High,,VO2 Max,18 minutes,28 sec work / 18 sec rest
Running - HIIT,Running,HIIT,Low,Treadmill,Metabolic Conditioning,19 minutes,29 sec work / 19 sec rest
Running - HIIT,Running,HIIT,Moderate,Bike,Fat Loss,20 minutes,30 sec work / 20 sec rest
Running - HIIT,Running,HIIT,High,Rower,Cardiovascular Endurance,21 minutes,31 sec work / 21 sec rest
Running - HIIT,Running,HIIT,Very High,Kettlebell,Athletic Conditioning,22 minutes,32 sec work / 22 sec rest
Running - EMOM,Running,EMOM,Low,Dumbbell,VO2 Max,23 minutes,33 sec work / 23 sec rest
Running - EMOM,Running,EMOM,Moderate,Medicine Ball,Metabolic Conditioning,24 minutes,34 sec work / 24 sec rest
Running - EMOM,Running,EMOM,High,Battle Rope,Fat Loss,25 minutes,35 sec work / 25 sec rest
Running - EMOM,Running,EMOM,Very High,,Cardiovascular Endurance,26 minutes,36 sec work / 26 sec rest
Running - AMRAP,Running,AMRAP,Low,Treadmill,Athletic Conditioning,27 minutes,37 sec work / 27 sec rest
Running - AMRAP,Running,AMRAP,Moderate,Bike,VO2 Max,28 minutes,38 sec work / 28 sec rest
Running - AMRAP,Running,AMRAP,High,Rower,Metabolic Conditioning,29 minutes,39 sec work / 29 sec rest
Running - AMRAP,Running,AMRAP,Very High,Kettlebell,Fat Loss,30 minutes,40 sec work / 30 sec rest
Running - Circuit,Running,Circuit,Low,Dumbbell,Cardiovascular Endurance,31 minutes,41 sec work / 31 sec rest
Running - Circuit,Running,Circuit,Moderate,Medicine Ball,Athletic Conditioning,32 minutes,42 sec work / 32 sec rest
Running - Circuit,Running,Circuit,High,Battle Rope,VO2 Max,33 minutes,43 sec work / 33 sec rest
Running - Circuit,Running,Circuit,Very High,,Metabolic Conditioning,34 minutes,44 sec work / 34 sec rest
Cycling - Steady State,Cycling,Steady State,Low,Treadmill,Fat Loss,35 minutes,45 sec work / 35 sec rest
Cycling - Steady State,Cycling,Steady State,Moderate,Bike,Cardiovascular Endurance,36 minutes,46 sec work / 36 sec rest
Cycling - Steady State,Cycling,Steady State,High,Rower,Athletic Conditioning,37 minutes,47 sec work / 37 sec rest
Cycling - Steady State,Cycling,Steady State,Very High,Kettlebell,VO2 Max,38 minutes,48 sec work / 38 sec rest
