Gender,Age,Height_cm,Weight_kg,Body_Type,Goal,Daily_Calories,Protein_g,Carbs_g,Fats_g,Breakfast,Lunch,Dinner,Snacks
Male,19,167,65,Ectomorph,Lean Bulk,2009,130,251,55,Poha,"Rice, Dal & Veg Curry",Vegetable Stir Fry,Peanut Chaat
Male,19,155,63,Ectomorph,Fat Loss,1854,122,231,51,Poha,Curd Rice,Grilled Chicken & Veggies,Peanut Chaat
Female,18,160,94,Mesomorph,Maintenance,2369,159,296,65,Vegetable Upma,"Rice, Dal & Veg Curry",Roti & Paneer Curry,Peanut Chaat
Male,40,172,88,Mesomorph,Lean Bulk,2740,169,342,76,Paneer Paratha,"Rice, Dal & Veg Curry",Vegetable Stir Fry,Boiled Eggs
Female,54,162,95,Ectomorph,Lean Bulk,2266,196,283,62,Idli & Sambar,Chicken Curry with Rice,Roti & Paneer Curry,Peanut Chaat
Female,47,190,73,Ectomorph,Maintenance,2527,125,315,70,Vegetable Upma,"Rice, Dal & Veg Curry",Vegetable Stir Fry,Roasted Chana
Male,28,179,74,Mesomorph,Fat Loss,2940,128,367,81,Vegetable Upma,"Rice, Dal & Veg Curry",Grilled Chicken & Veggies,Fruit Bowl
Female,43,167,54,Ectomorph,Fat Loss,2444,93,305,67,Paneer Paratha,Curd Rice,Fish Curry with Rice,Roasted Chana
Female,26,165,97,Endomorph,Fat Loss,2338,198,292,64,Paneer Paratha,"Roti, Sabzi & Dal",Fish Curry with Rice,Boiled Eggs
Male,26,182,81,Ectomorph,Lean Bulk,2024,137,253,56,Oats with Milk,Curd Rice,Vegetable Stir Fry,Fruit Bowl
Female,42,188,79,Endomorph,Maintenance,2933,167,366,81,Idli & Sambar,"Rice, Dal & Veg Curry",Vegetable Stir Fry,Boiled Eggs
Female,25,168,77,Ectomorph,Maintenance,1806,167,225,50,Vegetable Upma,"Roti, Sabzi & Dal",Grilled Chicken & Veggies,Protein Shake
Male,37,190,82,Endomorph,Lean Bulk,2113,149,264,58,Oats with Milk,"Roti, Sabzi & Dal",Vegetable Stir Fry,Fruit Bowl
Female,49,151,57,Mesomorph,Maintenance,2290,93,286,63,Poha,"Rice, Dal & Veg Curry",Roti & Paneer Curry,Peanut Chaat
Male,52,158,58,Endomorph,Maintenance,2925,98,365,81,Poha,"Roti, Sabzi & Dal",Fish Curry with Rice,Roasted Chana
Male,37,175,92,Endomorph,Maintenance,2697,196,337,74,Paneer Paratha,"Rice, Dal & Veg Curry",Grilled Chicken & Veggies,Roasted Chana
Male,39,151,87,Endomorph,Lean Bulk,2251,139,281,62,Idli & Sambar,Chicken Curry with Rice,Roti & Paneer Curry,Fruit Bowl
Female,22,182,65,Mesomorph,Fat Loss,2794,112,349,77,Oats with Milk,"Roti, Sabzi & Dal",Vegetable Stir Fry,Peanut Chaat
Male,48,176,62,Ectomorph,Lean Bulk,2682,112,335,74,Paneer Paratha,Curd Rice,Roti & Paneer Curry,Fruit Bowl
Male,43,171,56,Ectomorph,Lean Bulk,2189,107,273,60,Oats with Milk,Curd Rice,Grilled Chicken & Veggies,Boiled Eggs
Female,33,154,78,Endomorph,Lean Bulk,1903,155,237,52,Poha,"Rice, Dal & Veg Curry",Roti & Paneer Curry,Roasted Chana
Male,44,181,80,Ectomorph,Maintenance,1920,135,240,53,Idli & Sambar,Curd Rice,Khichdi,Peanut Chaat
Female,45,185,92,Endomorph,Maintenance,2117,157,264,58,Oats with Milk,"Rice, Dal & Veg Curry",Vegetable Stir Fry,Protein Shake
Male,38,153,53,Endomorph,Maintenance,2829,114,353,78,Poha,Chicken Curry with Rice,Roti & Paneer Curry,Protein Shake
Male,29,154,88,Ectomorph,Fat Loss,2281,162,285,63,Poha,Chicken Curry with Rice,Vegetable Stir Fry,Protein Shake
Male,23,176,92,Endomorph,Fat Loss,2870,164,358,79,Vegetable Upma,Chicken Curry with Rice,Khichdi,Roasted Chana
Female,43,158,92,Endomorph,Maintenance,2736,164,342,76,Idli & Sambar,"Rice, Dal & Veg Curry",Fish Curry with Rice,Protein Shake
Male,22,184,63,Endomorph,Maintenance,2071,136,258,57,Idli & Sambar,Chicken Curry with Rice,Khichdi,Boiled Eggs
Male,46,184,95,Mesomorph,Fat Loss,2883,152,360,80,Poha,Rajma Chawal,Roti & Paneer Curry,Roasted Chana
Female,25,156,97,Endomorph,Lean Bulk,2357,171,294,65,Oats with Milk,Rajma Chawal,Grilled Chicken & Veggies,Boiled Eggs
Female,34,153,55,Endomorph,Maintenance,2366,89,295,65,Vegetable Upma,Chicken Curry with Rice,Khichdi,Roasted Chana
Female,53,177,85,Ectomorph,Lean Bulk,1954,184,244,54,Oats with Milk,"Roti, Sabzi & Dal",Roti & Paneer Curry,Boiled Eggs
Male,45,158,52,Mesomorph,Maintenance,1881,111,235,52,Oats with Milk,Chicken Curry with Rice,Roti & Paneer Curry,Boiled Eggs
Female,27,165,60,Ectomorph,Maintenance,1850,102,231,51,Vegetable Upma,Curd Rice,Grilled Chicken & Veggies,Boiled Eggs
Male,24,174,52,Mesomorph,Lean Bulk,2208,108,276,61,Paneer Paratha,Rajma Chawal,Khichdi,Roasted Chana
Male,19,162,75,Mesomorph,Maintenance,1942,163,242,53,Vegetable Upma,Rajma Chawal,Vegetable Stir Fry,Peanut Chaat
Female,19,157,66,Ectomorph,Fat Loss,2343,107,292,65,Poha,Curd Rice,Khichdi,Boiled Eggs
Female,50,157,74,Endomorph,Lean Bulk,2321,120,290,64,Paneer Paratha,"Rice, Dal & Veg Curry",Vegetable Stir Fry,Protein Shake
Male,41,177,54,Endomorph,Maintenance,2442,107,305,67,Idli & Sambar,Rajma Chawal,Vegetable Stir Fry,Boiled Eggs
Female,38,175,94,Mesomorph,Fat Loss,2060,161,257,57,Paneer Paratha,Chicken Curry with Rice,Vegetable Stir Fry,Protein Shake
Female,43,185,50,Mesomorph,Maintenance,2230,92,278,61,Poha,"Roti, Sabzi & Dal",Khichdi,Peanut Chaat
Female,46,163,82,Mesomorph,Fat Loss,2147,163,268,59,Vegetable Upma,"Roti, Sabzi & Dal",Vegetable Stir Fry,Boiled Eggs
Male,33,169,64,Ectomorph,Lean Bulk,1850,104,231,51,Paneer Paratha,"Roti, Sabzi & Dal",Roti & Paneer Curry,Peanut Chaat
Female,54,162,95,Endomorph,Maintenance,2812,174,351,78,Oats with Milk,"Rice, Dal & Veg Curry",Roti & Paneer Curry,Peanut Chaat
Male,29,183,79,Ectomorph,Fat Loss,2310,169,288,64,Idli & Sambar,Curd Rice,Grilled Chicken & Veggies,Peanut Chaat
Female,46,189,96,Endomorph,Maintenance,2922,179,365,81,Oats with Milk,Curd Rice,Fish Curry with Rice,Boiled Eggs
Male,35,183,81,Endomorph,Lean Bulk,2362,150,295,65,Vegetable Upma,Chicken Curry with Rice,Khichdi,Boiled Eggs
Female,52,155,58,Ectomorph,Lean Bulk,2584,116,323,71,Oats with Milk,"Rice, Dal & Veg Curry",Fish Curry with Rice,Peanut Chaat
Female,52,179,76,Ectomorph,Lean Bulk,2660,139,332,73,Poha,"Rice, Dal & Veg Curry",Vegetable Stir Fry,Peanut Chaat
Female,18,172,69,Mesomorph,Maintenance,2902,141,362,80,Poha,"Roti, Sabzi & Dal",Grilled Chicken & Veggies,Peanut Chaat
Male,35,177,81,Ectomorph,Maintenance,2488,162,311,69,Paneer Paratha,Chicken Curry with Rice,Fish Curry with Rice,Roasted Chana
Male,43,187,86,Endomorph,Lean Bulk,1971,170,246,54,Oats with Milk,Curd Rice,Grilled Chicken & Veggies,Fruit Bowl
Female,42,170,63,Mesomorph,Maintenance,2491,129,311,69,Paneer Paratha,Rajma Chawal,Fish Curry with Rice,Boiled Eggs
Male,48,151,97,Endomorph,Lean Bulk,2516,168,314,69,Idli & Sambar,"Rice, Dal & Veg Curry",Roti & Paneer Curry,Roasted Chana
Male,19,189,59,Ectomorph,Lean Bulk,2769,118,346,76,Poha,Chicken Curry with Rice,Fish Curry with Rice,Boiled Eggs
Female,28,188,88,Endomorph,Fat Loss,2034,181,254,56,Oats with Milk,Rajma Chawal,Roti & Paneer Curry,Protein Shake
Male,37,186,93,Mesomorph,Maintenance,2206,153,275,61,Oats with Milk,"Rice, Dal & Veg Curry",Khichdi,Protein Shake
Male,54,152,72,Endomorph,Maintenance,2558,118,319,71,Vegetable Upma,"Rice, Dal & Veg Curry",Fish Curry with Rice,Peanut Chaat
Male,45,173,90,Mesomorph,Fat Loss,2113,167,264,58,Poha,Rajma Chawal,Vegetable Stir Fry,Protein Shake
Female,47,177,96,Endomorph,Maintenance,2460,202,307,68,Idli & Sambar,Rajma Chawal,Fish Curry with Rice,Roasted Chana
Female,54,189,92,Mesomorph,Maintenance,1858,174,232,51,Vegetable Upma,Chicken Curry with Rice,Fish Curry with Rice,Roasted Chana
Female,34,171,67,Endomorph,Fat Loss,2365,129,295,65,Poha,Chicken Curry with Rice,Roti & Paneer Curry,Roasted Chana
Female,49,185,98,Ectomorph,Fat Loss,2775,194,346,77,Paneer Paratha,Curd Rice,Roti & Paneer Curry,Fruit Bowl
Female,32,175,94,Ectomorph,Maintenance,2991,171,373,83,Poha,"Roti, Sabzi & Dal",Khichdi,Peanut Chaat
Female,40,179,67,Mesomorph,Maintenance,2272,112,284,63,Oats with Milk,Rajma Chawal,Roti & Paneer Curry,Protein Shake
Male,30,163,97,Mesomorph,Maintenance,2874,189,359,79,Idli & Sambar,Chicken Curry with Rice,Khichdi,Roasted Chana
Female,29,169,50,Endomorph,Fat Loss,2059,88,257,57,Idli & Sambar,"Roti, Sabzi & Dal",Khichdi,Roasted Chana
Female,24,150,86,Mesomorph,Maintenance,2780,160,347,77,Oats with Milk,"Rice, Dal & Veg Curry",Khichdi,Peanut Chaat
Male,22,175,81,Ectomorph,Fat Loss,1909,136,238,53,Poha,Rajma Chawal,Roti & Paneer Curry,Roasted Chana
Male,53,176,88,Endomorph,Fat Loss,2262,181,282,62,Paneer Paratha,Curd Rice,Fish Curry with Rice,Boiled Eggs
Female,37,186,89,Ectomorph,Fat Loss,2003,193,250,55,Oats with Milk,Chicken Curry with Rice,Khichdi,Fruit Bowl
Male,33,161,85,Ectomorph,Lean Bulk,1805,156,225,50,Poha,Curd Rice,Khichdi,Fruit Bowl
Male,36,168,94,Mesomorph,Lean Bulk,2278,202,284,63,Poha,Chicken Curry with Rice,Fish Curry with Rice,Fruit Bowl
Male,27,167,59,Ectomorph,Lean Bulk,2139,122,267,59,Poha,"Roti, Sabzi & Dal",Khichdi,Peanut Chaat
Male,47,169,94,Mesomorph,Maintenance,2824,180,353,78,Paneer Paratha,"Rice, Dal & Veg Curry",Vegetable Stir Fry,Fruit Bowl
Female,38,188,66,Ectomorph,Lean Bulk,2268,143,283,63,Poha,"Roti, Sabzi & Dal",Roti & Paneer Curry,Boiled Eggs
Male,29,180,83,Endomorph,Maintenance,2369,141,296,65,Poha,Curd Rice,Fish Curry with Rice,Fruit Bowl
Female,40,176,71,Mesomorph,Fat Loss,2014,150,251,55,Vegetable Upma,Curd Rice,Fish Curry with Rice,Boiled Eggs
Female,53,152,79,Ectomorph,Maintenance,2316,141,289,64,Paneer Paratha,"Roti, Sabzi & Dal",Roti & Paneer Curry,Protein Shake
Female,44,153,62,Endomorph,Maintenance,2820,122,352,78,Idli & Sambar,Chicken Curry with Rice,Khichdi,Protein Shake
Male,36,178,94,Mesomorph,Lean Bulk,1859,205,232,51,Poha,Chicken Curry with Rice,Grilled Chicken & Veggies,Boiled Eggs
Male,53,176,55,Ectomorph,Lean Bulk,2745,119,343,76,Oats with Milk,Curd Rice,Khichdi,Protein Shake
Female,44,180,80,Ectomorph,Maintenance,2928,134,366,81,Oats with Milk,"Roti, Sabzi & Dal",Vegetable Stir Fry,Roasted Chana
Male,35,176,71,Endomorph,Maintenance,1805,125,225,50,Vegetable Upma,"Roti, Sabzi & Dal",Vegetable Stir Fry,Peanut Chaat
Male,46,184,80,Mesomorph,Maintenance,2930,164,366,81,Paneer Paratha,Curd Rice,Khichdi,Roasted Chana
Male,54,174,64,Mesomorph,Lean Bulk,2451,130,306,68,Paneer Paratha,Curd Rice,Grilled Chicken & Veggies,Peanut Chaat
Male,26,182,87,Mesomorph,Lean Bulk,2701,144,337,75,Paneer Paratha,"Rice, Dal & Veg Curry",Grilled Chicken & Veggies,Peanut Chaat
Male,22,180,100,Mesomorph,Maintenance,2614,198,326,72,Vegetable Upma,"Roti, Sabzi & Dal",Fish Curry with Rice,Boiled Eggs
Female,52,152,89,Ectomorph,Lean Bulk,2388,195,298,66,Idli & Sambar,Curd Rice,Roti & Paneer Curry,Fruit Bowl
Female,28,169,51,Ectomorph,Maintenance,1914,90,239,53,Vegetable Upma,Curd Rice,Grilled Chicken & Veggies,Roasted Chana
Female,54,161,60,Ectomorph,Lean Bulk,2583,118,322,71,Oats with Milk,Curd Rice,Vegetable Stir Fry,Roasted Chana
